ref_id,referencia_apa7,url,fecha_consulta,datos_respaldados,notas
REF001,División Mayor del Fútbol Colombiano. (2026). Reglamento Liga BetPlay DIMAYOR 2026.,https://dimayor.com.co/wp-content/uploads/2026/01/REGLAMENTO-LIGA-2026-V11-1.pdf,2026-09-01,Universo de 20 clubes y sistema de competencia 2026,
REF002,"Andrés, J. P. (2026, 11 de junio). Colombia—List of champions and runners-up. Rec.Sport.Soccer Statistics Foundation.",https://www.rsssf.org/tablesc/colchamp.html,2026-09-01,Títulos y subcampeonatos históricos,Fuente estadística secundaria contrastada con DIMAYOR para 2026-I
REF003,Wikipedia contributors. (2026). Categoría Primera A. En Wikipedia.,https://es.wikipedia.org/wiki/Categor%C3%ADa_Primera_A,2026-09-01,Resumen de títulos y subcampeonatos,"Se usa como control cruzado, no como fuente única"
REF004,"División Mayor del Fútbol Colombiano. (2026, 8 de junio). ¡Junior FC campeón de la Liga BetPlay DIMAYOR I-2026!",https://www.dimayor.com.co/2026/06/08/junior-fc-campeon-de-la-liga-betplay-dimayor-l-2026/,2026-09-01,Campeón y finalista de 2026-I,
REF005,Wikipedia contributors. (2026). Torneo Finalización 2021. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Finalizaci%C3%B3n_2021_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF006,Wikipedia contributors. (2026). Torneo Apertura 2022. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Apertura_2022_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF007,Wikipedia contributors. (2026). Torneo Finalización 2022. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Finalizaci%C3%B3n_2022_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF008,Wikipedia contributors. (2026). Torneo Apertura 2023. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Apertura_2023_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF009,Wikipedia contributors. (2026). Torneo Finalización 2023. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Finalizaci%C3%B3n_2023_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF010,Wikipedia contributors. (2026). Torneo Apertura 2024. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Apertura_2024_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF011,Wikipedia contributors. (2026). Torneo Finalización 2024. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Finalizaci%C3%B3n_2024_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF012,Wikipedia contributors. (2026). Torneo Apertura 2025. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Apertura_2025_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF013,Wikipedia contributors. (2026). Torneo Finalización 2025. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Finalizaci%C3%B3n_2025_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF014,Wikipedia contributors. (2026). Torneo Apertura 2026. En Wikipedia.,https://es.wikipedia.org/wiki/Torneo_Apertura_2026_(Colombia),2026-09-01,Participación y ocho primeros de la primera fase,
REF015,Sports Reference LLC. (s. f.). 2025 Primera A scores and fixtures. FBref.,https://fbref.com/en/comps/41/2025/schedule/2025-Primera-A-Scores-and-Fixtures,2026-09-01,Asistencia de partidos de local en Primera A durante 2025,Promedio propio calculado solo con partidos cuyo campo Attendance no está vacío
REF016,Internacional de Bogotá. (2026). Internacional de Bogotá: Historia.,https://interbogota.com/,2026-09-01,Continuidad histórica de La Equidad e Internacional de Bogotá,
REF017,El Tiempo. (2015). Ernesto Hernández: de guardia de seguridad a futbolista profesional.,https://www.eltiempo.com/archivo/documento/cms-15109815,2026-09-01,"Identidad, nacionalidad y vínculo de Ernesto Hernández con Deportivo Cali",
REF018,FanChants. (s. f.). Canciones de equipos de fútbol de Colombia.,https://www.fanchants.com/es/country/colombia/classic/,2026-09-01,"Letras, títulos y contexto editorial de cánticos",
REF019,Barrabrava.net. (s. f.). Rexixtenxia Norte: Letras.,https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letras/,2026-09-01,Letras públicas asociadas con Independiente Medellín,
REF020,División Mayor del Fútbol Colombiano. (s. f.). Alianza FC.,https://dimayor.com.co/alianza-fc-3/,2026-09-01,"Fecha de fundación, estadio y sede de Alianza FC",
REF021,Águilas Doradas [@aguilasdoradasr]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/aguilasdoradasr/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF022,Alianza Valledupar [@alianzafc.official]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/alianzafc.official/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF023,América de Cali [@americadecali]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/americadecali/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
REF024,Deportivo Pasto [@deportivopastooficial]. (s. f.). Perfil de Instagram [Perfil]. Instagram.,https://www.instagram.com/deportivopastooficial/,2026-09-01,Cuenta oficial y seguidores en la fecha de corte,Instagram muestra el total abreviado; la cifra numérica es aproximada
