cantico_id,club_id,equipo_mencionado_fuente,titulo_referencia,letra_original,contexto_cantico,referente_contextual,fuente_contexto,estado_contexto,fuente,url,fecha_consulta,fecha_publicacion,metodo_adquisicion,numero_palabras,estado_verificacion,posible_similar_a,revision_manual,observacion_revision
CAN0001,CLU002,Alianza Petrolera,Orgullo Barranqueño,"Orgullo Barranqueño yo soy del Aurinegro...
Te sigo de pendejo... por que es un sentimiento...
Esta Banda que esta descontrolada no te deja de alentar jamas jamas...
Vamos vamos Alian... vamos a ganar... la Anarkia te va alentar... vamos petrolera
Hoy te vengo aver hoy no... podes perder...",,,,,Barrabrava.net,https://barrabrava.net/alianza-petrolera/dominio-aurinegro/letra/orgullo-barranqueno/,2026-09-01,,Copiado de texto público mediante extracción reproducible,48,aceptado,,No,
CAN0002,CLU003,América de Cali,El echo de quererte tanto,"El hecho de quererte tanto me volvío re loco…
yo dejo la vida en las gradas alentando al rojo
este vicio que me hice contigo yo no me lo explico…
porque te quiero diablo rojo yo estare contigo...
Tema original: celoso - Nelson Gómez",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/el-echo-de-quererte-tanto/,2026-09-01,,Copiado de texto público mediante extracción reproducible,43,aceptado,,No,
CAN0003,CLU003,América de Cali,En el barrio San Fernando hay una banda,"en el barrio san fernando hay una banda
y el aguante lo primero q aprendí
vamos todos para el barrio san fernando
es el barrio mas hermoso para mi
y ahora voy
caminando por los pasos del alcohol
sos campeón
yo me quedo con la banda del barón",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/en-el-barrio-san-fernando-hay-una-banda/,2026-09-01,,Copiado de texto público mediante extracción reproducible,48,aceptado,,No,
CAN0004,CLU003,América de Cali,Esa es la banda puta del sin banderas,"Esa es la banda puta del sin banderas
La que perdió los trapos en carretera
La que le tiene miedo a los mano a mano
La que por cagones se los robaron
Los dejó tirados",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/esa-es-la-banda-puta-del-sin-banderas/,2026-09-01,,Copiado de texto público mediante extracción reproducible,35,aceptado,,No,
CAN0005,CLU003,América de Cali,Esta es la banda del Chanchero,"Esta es la banda del Chanchero
La que alienta y pone huevo
La que corre al panadero
La que corre al vaginal
La generación perdida
Ya corrió a la policía
Es la hinchada de los cantos
Que no para de alentar
Chanchero querido
Por siempre estarás
Porque esta es tu hinchada
No te vamo a olvidar
Chanchero querido de mi corazón
De la cuna hasta el cajón",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/esta-es-la-banda-del-chanchero/,2026-09-01,,Copiado de texto público mediante extracción reproducible,67,aceptado,,No,
CAN0006,CLU003,América de Cali,Filiales del Rojo,"estas son las filiales del rojo...
la que por los colores siempre lo dejan todo...
la que se aguantaron el descenso...
las corren a las vulvas...tambien al panadero...
van de la cabeza...
son las que en las canchas ponen la fiesta...
les vamo a demostrar...
que sin las filiales no hay carnaval",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/filiales-del-rojo/,2026-09-01,,Copiado de texto público mediante extracción reproducible,53,aceptado,,No,
CAN0007,CLU003,América de Cali,Hoy vine de vuelta a la cancha,"Hoy vine de vuelta a la cancha
con mis amigos volví a San Fernando
muchos momentos los que hemos vivido
buenos y malos pero aquí contigo.
Que ya han pasado muchos años
seguimos siendo la Pasión de un Pueblo
seguimos siendo la Banda del Diablo
Es la que te juró amor eterno
Y vamos Rojo que yo te amo
cantemos todos que hoy ganamos
Y vamos Rojo a dar la vuelta
haciendo grande la camiseta...",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/hoy-vine-de-vuelta-a-la-cancha/,2026-09-01,,Copiado de texto público mediante extracción reproducible,75,aceptado,,No,
CAN0008,CLU003,América de Cali,Hoy volvimos a la cancha,"Hoy volvimos a la cancha la fiesta del escarlata con los bombos y los trapos a los socios nos miramos, Que el rojo es lo que mas quiero si no te veo me muero a los millos los robamos y sigue donde vamos recorriendo carretera la banda funebrera que viaja a todas partes disturbio tiene aguante, recorriendo carretera la banda funebrera que viaja a todas partes disturbio tiene aguante Hoy volvimos a la cancha La fiesta del escarlata con los bombos y los trapos a los socios nos miramos que el rojo es lo que mas quiero si no te veo me muero a los millos los robamos y sigue donde vamos. Recorriendo carretera la banda funebrera que viaja a todas partes disturbio tiene aguante recorriendo carretera la banda funebrera que viaja a todas partes disturbio tiene aguante",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/disturbio-rojo-bogota/letra/hoy-volvimos-a-la-cancha/,2026-09-01,,Copiado de texto público mediante extracción reproducible,138,aceptado,,No,
CAN0009,CLU003,América de Cali,Llego el momento y esta banda loca te viene alentar,"Vas a morir,
Vas a llorar,
Se va a caer,
La popular
Una vez mas
Llego el momento y esta banda loca te viene alentar
Una vez mas
El sentimiento de ser escarlata me hace delirar...
Vas a morir,
vas a llorar
se va a caer la popular
Una vez mas",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/llego-el-momento-y-esta-banda-loca-te-viene-alentar/,2026-09-01,,Copiado de texto público mediante extracción reproducible,51,aceptado,,No,
CAN0010,CLU003,América de Cali,Mechita Vos Sos Mi Vida,"Mechita Vos Sos Mi Vida
Sos Mi Pasion, Mi Alegria
No Importa Ganes o Pierdas
Siempre Esta Banda Te Alienta
Solo Te Pido Una Cosa,
Que Vos Te Ganes La Copa,
Que Si Salimos Campeon La Banda Se Vuelve Loca
Que Si Salimos Campeon La Banda Se Vuelve Loca
Cantando, Alentando Yo Viviré,
Mechita Vos Sos Mi Vida
Cantando, Alentando Yo Viviré,
Mechita Vos Sos Mi Vida",,,,,Barrabrava.net,https://barrabrava.net/america-de-cali/disturbio-rojo-bogota/letra/mechita-vos-sos-mi-vida/,2026-09-01,,Copiado de texto público mediante extracción reproducible,67,aceptado,,No,
