club_id,nombre_oficial,nombre_corto,ciudad_sede,departamento,region,anio_fundacion,estadio_principal,participa_liga_a_2026,titulos_liga_hasta_2026_I,subcampeonatos_liga_hasta_2026_I,periodo_rendimiento,torneos_disputados_periodo,clasificaciones_fase_final_periodo,tasa_clasificacion,promedio_asistencia_2025,partidos_con_dato_asistencia,nombre_en_fuente_asistencia,instagram_oficial,seguidores_instagram,seguidores_instagram_texto_fuente,precision_seguidores,fecha_corte_seguidores,fuente_instagram,ref_universo,ref_palmares,ref_rendimiento,ref_asistencia,ref_instagram,observaciones_datos_club
CLU001,Águilas Doradas,Águilas Doradas,Rionegro,Antioquia,Andina,1991,Estadio Alberto Grisales,Sí,0,0,2021-II a 2026-I,10,3,0.3,1821,19,Águilas Doradas,@aguilasdoradasr,90000,90K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/aguilasdoradasr/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF021,
CLU002,Alianza Fútbol Club,Alianza Valledupar,Valledupar,Cesar,Caribe,2024,Estadio Armando Maestre Pavajeau,Sí,0,0,2021-II a 2026-I,10,2,0.2,4650,20,Alianza Petrolera,@alianzafc.official,44000,44K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/alianzafc.official/,REF001; REF020; REF071,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF022,"Se incluye el repertorio publicado como Alianza Petrolera dentro de CLU002, pero equipo_mencionado_fuente conserva ese nombre histórico. DIMAYOR aprobó el traslado de Alianza F.C. a Valledupar el 24 de enero de 2024 y la ficha actual registra a Alianza Valledupar FC como fundado el 16 de enero de 2024. No se encontraron cánticos publicados bajo el nombre actual en esta etapa."
CLU003,América de Cali,América de Cali,Cali,Valle del Cauca,Pacífica,1927,Estadio Olímpico Pascual Guerrero,Sí,15,7,2021-II a 2026-I,10,8,0.8,8689,23,América de Cali,@americadecali,929000,929K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/americadecali/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF023,
CLU004,Asociación Deportivo Pasto,Deportivo Pasto,Pasto,Nariño,Pacífica,1949,Estadio Departamental Libertad,Sí,1,3,2021-II a 2026-I,10,4,0.4,4975,20,Deportivo Pasto,@deportivopastooficial,75000,75K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/deportivopastooficial/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF024,
CLU005,Club Atlético Bucaramanga,Atlético Bucaramanga,Bucaramanga,Santander,Andina,1949,Estadio Américo Montanini,Sí,1,1,2021-II a 2026-I,10,3,0.3,13045,22,Atlético Bucaramanga,@bucaramangaoficial,300000,300K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/bucaramangaoficial/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF025,
CLU006,Atlético Nacional,Atlético Nacional,Medellín,Antioquia,Andina,1947,Estadio Atanasio Girardot,Sí,18,13,2021-II a 2026-I,10,8,0.8,29701,26,Atlético Nacional,@nacionaloficial,2000000,2M,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/nacionaloficial/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF026,
CLU007,Boyacá Chicó Fútbol Club,Boyacá Chicó,Tunja,Boyacá,Andina,2002,Estadio La Independencia,Sí,1,0,2021-II a 2026-I,7,1,0.14285714285714285,1600,20,Boyacá Chicó,@boyacachico_oficial,46000,46K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/boyacachico_oficial/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF027,
CLU008,Cúcuta Deportivo Fútbol Club,Cúcuta Deportivo,Cúcuta,Norte de Santander,Andina,1924,Estadio General Santander,Sí,1,1,2021-II a 2026-I,1,0,0.0,,0,No disputó Primera A 2025,@cucutaoficial,140000,140K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/cucutaoficial/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF028,Sin promedio de asistencia: no disputó Primera A en 2025; cero partidos con dato no significa asistencia cero.
CLU009,Asociación Deportivo Cali,Deportivo Cali,Cali,Valle del Cauca,Pacífica,1912,Estadio Deportivo Cali (Palmira),Sí,10,14,2021-II a 2026-I,10,2,0.2,21393,19,Deportivo Cali,@deportivocalioficial,475000,475K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/deportivocalioficial/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF029,
CLU010,Deportivo Independiente Medellín,Independiente Medellín,Medellín,Antioquia,Andina,1913,Estadio Atanasio Girardot,Sí,6,13,2021-II a 2026-I,10,6,0.6,25194,26,Independiente Medellín,@dimoficialcom,437000,437K,Aproximado: Instagram muestra una cifra abreviada,2026-09-01,https://www.instagram.com/dimoficialcom/,REF001,REF002; REF003; REF004,REF005; REF006; REF007; REF008; REF009; REF010; REF011; REF012; REF013; REF014,REF015,REF030,
