revision_id,tipo_revision,canticos_involucrados,decision_revision,id_conservar_o_relacionar,club_id_corregido,nombre_club_corregido,justificacion,revisor,fecha_revision,fecha_integracion,urls_evidencia,fuente_decision,estado_aplicacion
SIM-001,similitud,CAN0028 | CAN0046,conservar_uno,CAN0028,,,Son el mismo canto,David Cardona Duque,,2026-09-07,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/la-banda-loca/ | https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-15,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-002,similitud,CAN0030 | CAN0049,conservar_uno,CAN0049,,,Son el mismo canto,David Cardona Duque,,2026-09-07,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/los-vendidos/ | https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-19,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-003,similitud,CAN0031 | CAN0051,conservar_uno,CAN0051,,,Son el mismo canto,David Cardona Duque,,2026-09-07,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/no-me-arrepiento/ | https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-7,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-004,similitud,CAN0036 | CAN0055,conservar_uno,CAN0055,,,Son el mismo canto,David Cardona Duque,,2026-09-07,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/tricolores/ | https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-17,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-005,similitud,CAN0099 | CAN0102 | CAN0168,conservar_uno,CAN0168,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0168 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/atletico-nacional/los-del-sur/letra/en-el-cielo-alentando-esta-la-banda-inmortal/ | https://barrabrava.net/atletico-nacional/los-del-sur/letra/la-banda-inmortal/ | https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atlctico-nacional-chant-25-an/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-006,similitud,CAN0121 | CAN0151,conservar_uno,CAN0151,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0151 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/atletico-nacional/los-del-sur/letra/tus-eres-mi-equipo-del-alma/ | https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atletico-nacional-chant-7-an/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-007,similitud,CAN0126 | CAN0128,conservar_uno,CAN0128,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0128 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/atletico-nacional/los-del-sur/letra/verde-vos-sos-la-alegria-del-mundo-entero/ | https://www.fanchants.com/es/football-songs/atletico-nacional-chants/atlctico-nacional-chant-5-an/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-008,similitud,CAN0179 | CAN0192,conservar_uno,CAN0192,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0192 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/deportivo-cali/frente-radical-verdiblanco/letra/cantare-con-todo-el-alma/ | https://www.fanchants.com/es/football-songs/deportivo-cali-chants/deportivo-cali-chant-1/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-009,similitud,CAN0281 | CAN0305,conservar_uno,CAN0281,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0281 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/esta-noche-ganamos/ | https://www.fanchants.com/es/football-songs/deportes-tolima-chants/tonight-we-win/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
SIM-010,similitud,CAN0286 | CAN0309,conservar_uno,CAN0286,,,La comparación confirmó transcripciones equivalentes del mismo cántico; se conserva CAN0286 como registro canónico y se excluyen del análisis sus copias redundantes.,David Cardona Duque,,2026-09-07,https://barrabrava.net/tolima/revolucion-vinotinto-sur/letra/queremos-la-copa/ | https://www.fanchants.com/es/football-songs/deportes-tolima-chants/2-100/,revision_casos_fase2.xlsm · hoja Similitud,aplicada
