club_id,titulo_conservado,fuente_conservada,url_conservada,titulo_descartado,fuente_descartada,url_descartada,regla
CLU004,Pasto Te Pido Una Ilusion,Barrabrava.net,https://barrabrava.net/deportivo-pasto/la-banda-tricolor/letra/pasto-te-pido-una-ilusion/,UNA ILUSION,Blog Attake Massivo Pasto & La Banda Tricolor,https://tricoloresbandapasto.blogspot.com/p/cantos.html#bloque-4,secuencia canónica completa idéntica dentro del mismo club
CLU005,Al bucaros nunca lo he dejado,Barrabrava.net,https://barrabrava.net/atletico-bucaramanga/fortaleza-leoparda-sur/letra/al-bucaros-nunca-lo-he-dejado/,Estamos todos desde la tribuna,Barrabrava.net,https://barrabrava.net/atletico-bucaramanga/fortaleza-leoparda-sur/letra/estamos-todos-desde-la-tribuna/,secuencia canónica completa idéntica dentro del mismo club
CLU006,¿Dónde están los Indigentes?,Barrabrava.net,https://barrabrava.net/atletico-nacional/los-del-sur/letra/donde-estan-los-indigentes/,Dónde Están los Indigentes,FanChants,https://www.fanchants.com/es/football-songs/atletico-nacional-chants/where-are-beggars/,secuencia canónica completa idéntica dentro del mismo club
CLU014,Albi Rojo soy,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/albi-rojo-soy/,Albirojo soy,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/albirojo-soy/,secuencia canónica completa idéntica dentro del mismo club
CLU014,Muchas veces fui preso por Santa fe,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/muchas-veces-fui-preso-por-santa-fe/,También llore,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/tambien-llore/,secuencia canónica completa idéntica dentro del mismo club
CLU014,Me lo dijo una Gitana,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/me-lo-dijo-una-gitana/,Una gitana hermosa tiro las cartas,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/una-gitana-hermosa-tiro-las-cartas/,secuencia canónica completa idéntica dentro del mismo club
CLU014,El que no alienta al expreso,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/el-que-no-alienta-al-expreso/,Yo tengo un pacto a lo cardenal,Barrabrava.net,https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/yo-tengo-un-pacto-a-lo-cardenal/,secuencia canónica completa idéntica dentro del mismo club
CLU017,Porque este amor no tiene fin,Barrabrava.net,https://barrabrava.net/junior-de-barranquilla/frente-rojiblanco-sur/letra/porque-este-amor-no-tiene-fin/,"Vuelvo a venir, vuelvo a alentar",Barrabrava.net,https://barrabrava.net/junior-de-barranquilla/frente-rojiblanco-sur/letra/vuelvo-a-venir-vuelvo-a-alentar/,secuencia canónica completa idéntica dentro del mismo club
CLU019,Cada vez que te veo en la cancha,Barrabrava.net,https://barrabrava.net/millonarios/blue-rain/letra/cada-vez-que-te-veo-en-la-cancha/,Cada vez que te veo en la cancha,Barrabrava.net,https://barrabrava.net/millonarios/comandos-azules/letra/cada-vez-que-te-veo-en-la-cancha/,secuencia canónica completa idéntica dentro del mismo club
CLU019,Blue Rain te esta alentando,Barrabrava.net,https://barrabrava.net/millonarios/blue-rain/letra/blue-rain-te-esta-alentando/,Vamos vamos los millos,Barrabrava.net,https://barrabrava.net/millonarios/blue-rain/letra/vamos-vamos-los-millos/,secuencia canónica completa idéntica dentro del mismo club
